track_id,artist_id
c91115e6-9107-4d09-bb29-0fb76aa957c8,6c5a20dd-5168-40c9-92a5-2d62874a07ee
3c966e7c-1cb6-4f1c-b034-862135f439d3,6c5a20dd-5168-40c9-92a5-2d62874a07ee
23f57f7f-c920-4169-bbc0-242dd582ca71,6c5a20dd-5168-40c9-92a5-2d62874a07ee
76def535-d419-4f0e-aa56-54a8b1eb0f61,6c5a20dd-5168-40c9-92a5-2d62874a07ee
8dd715c9-4b82-47d2-aacb-5e10bd788ae8,6c5a20dd-5168-40c9-92a5-2d62874a07ee
f588938b-845e-46bf-b809-0a76e4caacd7,bf0ffb32-463e-4d99-8518-b62108866607
99fd8b5b-398b-48f3-9df1-f3b2d05cae6e,67b2ff8a-0b34-4bc0-95ff-13077120f890
63bd91d4-57e4-4973-84bb-989b3feab2f7,67b2ff8a-0b34-4bc0-95ff-13077120f890
09413694-9f17-4133-879f-6ac5da38f0b8,67b2ff8a-0b34-4bc0-95ff-13077120f890
90e47fc1-d833-4ee7-b8c5-f5394f1cb567,fd897e2b-b0ca-476d-8f62-27e4228a4d1e
aa526ea3-a1e3-4117-8274-86e2bfa048f2,585d4321-dc82-4dc8-8474-d1d94e9b0f90
d7d11982-d50e-4e66-86db-25125cec4047,585d4321-dc82-4dc8-8474-d1d94e9b0f90
a0d3d0ce-48f0-4674-a65d-08e58bcb5cc5,8c84d187-d134-45fe-a2e9-5e7941443b05
06a19a33-2c87-4232-9d72-9c7ef253a01e,8c84d187-d134-45fe-a2e9-5e7941443b05
840f20a0-f8d4-4863-946c-6508ad1d9234,8c84d187-d134-45fe-a2e9-5e7941443b05
0630e4ea-eb8d-4f9b-b058-105dc63db684,0cf4cd94-b23e-4873-bcd0-61e7fe6f4b74
c827c613-1a46-4d28-8b7b-60b8c0d73465,8c84d187-d134-45fe-a2e9-5e7941443b05
b26a23e6-b7f9-475d-a4d6-788782b9dfdf,8c84d187-d134-45fe-a2e9-5e7941443b05
ca5e878a-7a84-4c06-bfee-d8222b8d18c9,0cf4cd94-b23e-4873-bcd0-61e7fe6f4b74
35ad0ac7-593b-4ad3-9a4f-63ba1a8b3adc,8c84d187-d134-45fe-a2e9-5e7941443b05
0a14bad4-6fbb-4b67-b404-f6c507428cd8,0cf4cd94-b23e-4873-bcd0-61e7fe6f4b74
ed7ac3da-b07a-4fd2-a606-41abe0984bf0,8c84d187-d134-45fe-a2e9-5e7941443b05
29906c6f-2384-414d-8c00-d85d997860bf,0cf4cd94-b23e-4873-bcd0-61e7fe6f4b74
